"citation_count","client_name_keyword",Count
890,"Infraestructura Mundial de Información en Biodiversidad",1
890,PANGAEA,1
890,Zenodo,1
900,"Global Biodiversity Information Facility",37
900,"SiB Colombia - GBIF Colombia",7
900,PANGAEA,1
910,"Global Biodiversity Information Facility",45
910,PANGAEA,6
910,"SiB Colombia - GBIF Colombia",4
910,"Infraestructura Mundial de Información en Biodiversidad",1
910,Zenodo,1
920,"Global Biodiversity Information Facility",33
920,"SiB Colombia - GBIF Colombia",4
920,"Infraestructura Mundial de Información en Biodiversidad",2
920,"Natural History Museum, London",1
920,PANGAEA,1
930,"Global Biodiversity Information Facility",49
930,"SiB Colombia - GBIF Colombia",7
930,PANGAEA,2
930,"Infraestructura Mundial de Información en Biodiversidad",1
940,"Global Biodiversity Information Facility",41
940,"SiB Colombia - GBIF Colombia",4
940,PANGAEA,2
940,Zenodo,1
950,"Global Biodiversity Information Facility",42
950,"SiB Colombia - GBIF Colombia",9
950,PANGAEA,2
960,"Global Biodiversity Information Facility",43
960,"SiB Colombia - GBIF Colombia",7
960,PANGAEA,2
960,"Infraestructura Mundial de Información en Biodiversidad",1
970,"Global Biodiversity Information Facility",46
970,"SiB Colombia - GBIF Colombia",2
980,"Global Biodiversity Information Facility",38
980,"SiB Colombia - GBIF Colombia",3
980,"Infraestructura Mundial de Información en Biodiversidad",2
980,PANGAEA,1
990,"Global Biodiversity Information Facility",22
990,"SiB Colombia - GBIF Colombia",8
990,"Infraestructura Mundial de Información en Biodiversidad",1
990,PANGAEA,1
